"CustomerID";"Industry";"Region";"Revenue";"Employees"
1;"Energy";"Asia-Pacific";9912216;3346
2;"Manufacturing";"Europe";75941259;940
3;"Retail";"Europe";60563214;86
4;"Energy";"Middle East";12597626;2108
5;"Healthcare";"Middle East";34143385;13
6;"Transportation";"Middle East";40275688;463
7;"Retail";"Africa";NA;NA
8;"Retail";"Asia-Pacific";85119150;2409
9;"Energy";"Middle East";289689119;672
10;"Finance";"North America";30523401;2400
11;"Healthcare";"Africa";2602575;156
12;"Energy";"South America";2905350;247
13;"Healthcare";"North America";2417616;879
14;"Healthcare";"North America";4813270;22
15;"Transportation";"Middle East";1612121;169
16;"Retail";"South America";391822548;4990
17;"Manufacturing";"South America";39156053;618
18;"Transportation";"Africa";11123769;71
19;"Transportation";"South America";6524102;714
20;"Healthcare";"Asia-Pacific";61579149;420
21;"Education";"Middle East";2741134;18
22;"Retail";"South America";411042676;526
23;"Finance";"Africa";39160582;59
24;"Transportation";"Asia-Pacific";22035848;65
25;"Manufacturing";"Europe";41900146;60
26;"Education";"Europe";15828463;33
27;"Education";"Asia-Pacific";75370439;878
28;"Finance";"Africa";14913841;621
29;"Transportation";"Asia-Pacific";49061846;175
30;"Manufacturing";"Middle East";2803740;17
31;"Retail";"Middle East";335719027;352
32;"Technology";"Europe";23433382;1720
33;"Manufacturing";"South America";444214498;2073
34;"Finance";"Africa";NA;NA
35;"Education";"Europe";49246906;46
36;"Retail";"South America";53395049;2604
37;"Manufacturing";"South America";1066150;550
38;"Technology";"Middle East";74728848;652
39;"Technology";"North America";12429645;519
40;"Healthcare";"North America";60822814;150
41;"Healthcare";"Asia-Pacific";NA;NA
42;"Energy";"Middle East";2931451;667
43;"Finance";"South America";3547500;402
44;"Transportation";"Africa";4355745;34
45;"Manufacturing";"North America";1999554;646
46;"Manufacturing";"South America";406182948;28
47;"Transportation";"North America";17547242;664
48;"Energy";"North America";5134055;442
49;"Education";"North America";3587609;269
50;"Education";"Africa";1676022;44
51;"Energy";"Middle East";14198550;158
52;"Education";"Africa";62267883;169
53;"Healthcare";"Europe";92639398;199
54;"Manufacturing";"South America";31984398;350
55;"Energy";"Middle East";18725559;932
56;"Manufacturing";"Middle East";2841648;87
57;"Transportation";"Middle East";18938179;193
58;"Technology";"Middle East";27132508;3467
59;"Healthcare";"Africa";3243541;37
60;"Retail";"Middle East";395289752;61
61;"Healthcare";"Asia-Pacific";19949772;1650
62;"Energy";"South America";8828433;18
63;"Retail";"Middle East";39512480;3638
64;"Technology";"South America";33594639;127
65;"Energy";"Asia-Pacific";9448748;454
66;"Finance";"Asia-Pacific";107152747;34
67;"Manufacturing";"South America";15697597;458
68;"Technology";"North America";3207169;114
69;"Manufacturing";"Europe";204800566;491
70;"Education";"North America";473416674;16
71;"Finance";"North America";32504233;285
72;"Finance";"Africa";191351453;646
73;"Technology";"North America";21020154;117
74;"Finance";"Middle East";359729164;2578
75;"Retail";"Africa";224284044;874
76;"Finance";"Africa";1750865;325
77;"Manufacturing";"Asia-Pacific";26733215;367
78;"Manufacturing";"North America";347346783;74
79;"Energy";"Asia-Pacific";28195810;388
80;"Manufacturing";"South America";400775290;28
81;"Energy";"Europe";140739629;118
82;"Manufacturing";"Africa";49900787;718
83;"Retail";"South America";13171548;47
84;"Transportation";"South America";56714301;41
85;"Energy";"Middle East";480291056;2191
86;"Healthcare";"Europe";15481981;609
87;"Education";"South America";97784180;45
88;"Technology";"South America";97379179;732
89;"Manufacturing";"Europe";15760888;2765
90;"Finance";"Europe";31305231;1353
91;"Transportation";"South America";76035947;181
92;"Manufacturing";"Europe";82909688;1073
93;"Finance";"South America";178483721;186
94;"Education";"South America";44746909;42
95;"Education";"Middle East";6859582;270
96;"Education";"North America";79610323;63
97;"Finance";"South America";63775236;249
98;"Manufacturing";"Asia-Pacific";114372528;11
99;"Education";"Africa";496471724;944
100;"Retail";"North America";301875831;505
101;"Energy";"North America";45722525;77
102;"Finance";"North America";88963185;199
103;"Finance";"Middle East";97173924;464
104;"Manufacturing";"South America";96571160;47
105;"Finance";"Middle East";99996207;700
106;"Finance";"South America";14659072;100
107;"Education";"Middle East";251780276;12
108;"Manufacturing";"Middle East";293705934;258
109;"Education";"Africa";NA;NA
110;"Energy";"Asia-Pacific";5397710;330
111;"Transportation";"Middle East";11503216;3775
112;"Energy";"Africa";1122744;372
113;"Transportation";"Europe";19361539;11
114;"Education";"Asia-Pacific";34133434;302
115;"Energy";"Middle East";54785956;26
116;"Manufacturing";"North America";1911420;85
117;"Technology";"Europe";1831460;43
118;"Education";"Europe";19918570;80
119;"";"Africa";NA;NA
120;"Retail";"Europe";282883013;1662
121;"Transportation";"Asia-Pacific";44773414;236
122;"Retail";"Middle East";5910775;487
123;"Finance";"Middle East";89509310;25
124;"Energy";"North America";2701165;39
125;"Retail";"Africa";496861450;321
126;"Transportation";"North America";67336140;25
127;"Finance";"Europe";8881185;512
128;"Technology";"North America";280534424;1657
129;"Manufacturing";"Asia-Pacific";88559430;900
130;"Manufacturing";"Middle East";17401203;190
131;"Manufacturing";"Europe";60679043;4720
132;"Retail";"North America";1972346;203
133;"Technology";"Africa";1915015;194
134;"Retail";"Asia-Pacific";NA;530
135;"Energy";"Asia-Pacific";477208668;737
136;"Retail";"North America";10193278;4351
137;"Technology";"Middle East";37208629;142
138;"Technology";"North America";2352564;3675
139;"Energy";"Europe";3424050;604
140;"Technology";"North America";97089005;318
141;"Transportation";"Asia-Pacific";5863561;505
142;"Technology";"North America";50302186;448
143;"Manufacturing";"Middle East";4207393;10
144;"Transportation";"Africa";2295160;4705
145;"Transportation";"South America";27456985;39
146;"Energy";"North America";11767528;649
147;"";"Middle East";4828464;134
148;"Healthcare";"Middle East";67803769;431
149;"Technology";"Africa";2235202;788
150;"Transportation";"Asia-Pacific";45311095;661
151;"Healthcare";"Middle East";318054148;25
152;"Healthcare";"Middle East";348432388;238
153;"Technology";"Middle East";8743797;192
154;"Healthcare";"Middle East";21514542;492
155;"Retail";"Europe";43134934;351
156;"Finance";"Europe";137735088;164
157;"Energy";"Asia-Pacific";31318792;11
158;"Finance";"North America";1076898;3409
159;"Technology";"Middle East";35135763;458
160;"Manufacturing";"Africa";4295097;975
161;"Energy";"North America";90400624;125
162;"Technology";"Africa";28676924;117
163;"Transportation";"North America";93951994;32
164;"Manufacturing";"Asia-Pacific";4153385;2690
165;"Finance";"Middle East";6829553;105
166;"Technology";"Middle East";17477265;762
167;"Transportation";"South America";23041341;193
168;"Energy";"Africa";224106967;NA
169;"Energy";"North America";196362498;46
170;"Education";"North America";64315679;744
171;"Transportation";"Europe";3105058;212
172;"Retail";"South America";44440805;739
173;"Healthcare";"Europe";4724044;47
174;"Manufacturing";"Europe";258803950;27
175;"Transportation";"Europe";65527000;2453
176;"Education";"Africa";18297992;85
177;"Healthcare";"Africa";6675843;4230
178;"Healthcare";"Asia-Pacific";1034701;184
179;"Technology";"Asia-Pacific";4229028;4139
180;"Healthcare";"Europe";43834209;4920
181;"Retail";"South America";2721610;507
182;"Energy";"North America";110569320;214
183;"Education";"Africa";169448631;123
184;"Healthcare";"South America";3140794;899
185;"Technology";"Middle East";3614235;30
186;"Retail";"Africa";5491036;663
187;"Finance";"Africa";13715912;266
188;"Energy";"Asia-Pacific";42824130;847
189;"Energy";"North America";15851224;630
190;"Education";"North America";22710241;70
191;"Energy";"Middle East";252137897;456
192;"Healthcare";"Middle East";8961352;19
193;"Technology";"Africa";23978702;2561
194;"Energy";"Europe";91723416;11
195;"Energy";"Asia-Pacific";37104132;481
196;"Finance";"Asia-Pacific";473605306;104
197;"Finance";"Africa";1605409;789
198;"Manufacturing";"South America";14462743;664
199;"Retail";"Europe";111377787;295
200;"Healthcare";"Africa";43626702;770
201;"Energy";"Europe";41827621;10
202;"Transportation";"Europe";28337735;2134
203;"Energy";"Europe";2725690;130
204;"Technology";"Africa";40057988;12
205;"Manufacturing";"Asia-Pacific";309523887;983
206;"Retail";"Asia-Pacific";10809041;2961
207;"Transportation";"Europe";32546501;3950
208;"Manufacturing";"South America";10087268;525
209;"Education";"North America";2961275;641
210;"Retail";"Africa";1403119;4189
211;"Energy";"North America";350219468;982
212;"Energy";"South America";66556827;892
213;"Retail";"Africa";2135564;3965
214;"Energy";"Europe";49332593;225
215;"Healthcare";"Asia-Pacific";133957164;4151
216;"Retail";"North America";169058877;13
217;"Manufacturing";"Middle East";47789660;4245
218;"Retail";"Middle East";6132658;212
219;"Transportation";"South America";420752313;41
220;"Energy";"Europe";24322626;328
221;"Healthcare";"North America";259394855;41
222;"Healthcare";"Europe";46376033;1092
223;"Education";"North America";288028967;641
224;"Manufacturing";"South America";382316634;1543
225;"Finance";"South America";173135852;834
226;"Finance";"Middle East";115590661;520
227;"Retail";"Europe";191312343;346
228;"Education";"Africa";22366610;977
229;"Technology";"Middle East";2068199;2852
230;"Retail";"Europe";18305947;15
231;"Education";"Middle East";49342048;3720
232;"Manufacturing";"Africa";1490042;2885
233;"Manufacturing";"Asia-Pacific";84012730;543
234;"Manufacturing";"Asia-Pacific";37824559;180
235;"Manufacturing";"Asia-Pacific";42496936;560
236;"Manufacturing";"Asia-Pacific";13493836;81
237;"Education";"North America";473719402;999
238;"Education";"Asia-Pacific";411262552;505
239;"Healthcare";"Africa";85284660;967
240;"Transportation";"South America";336827817;2954
241;"Finance";"South America";6569123;60
242;"Energy";"North America";417787802;845
243;"Manufacturing";"Asia-Pacific";16667877;630
244;"Technology";"Asia-Pacific";57393979;176
245;"Energy";"Asia-Pacific";15115078;20
246;"Education";"Middle East";16729028;678
247;"Technology";"Europe";75214698;106
248;"Technology";"Middle East";21622572;2487
249;"Technology";"Europe";8220281;1457
250;"Healthcare";"Asia-Pacific";488565752;133
251;"Education";"Asia-Pacific";44952818;893
252;"Technology";"Middle East";37486878;599
253;"Manufacturing";"Middle East";72098345;30
254;"Retail";"Europe";18261162;18
255;"Technology";"South America";1470452;2180
256;"Healthcare";"Europe";10672605;690
257;"Energy";"Middle East";244746022;165
258;"Education";"Africa";3592670;463
259;"Transportation";"Middle East";54810833;130
260;"Healthcare";"Africa";391916131;1400
261;"Technology";"North America";11417665;3812
262;"Education";"Middle East";67219277;147
263;"Retail";"North America";48500556;13
264;"Technology";"South America";82073692;54
265;"Healthcare";"Europe";137316107;603
266;"Finance";"Africa";15649894;90
267;"Manufacturing";"Europe";74192961;773
268;"Transportation";"North America";74859871;46
269;"Energy";"Africa";1488972;421
270;"Healthcare";"Europe";14512602;808
271;"Education";"Middle East";4081328;920
272;"Transportation";"Asia-Pacific";357029352;624
273;"Transportation";"North America";129263888;47
274;"Transportation";"Europe";77783527;113
275;"Technology";"North America";28551646;2509
276;"Manufacturing";"North America";4087201;4700
277;"Technology";"Africa";1930491;391
278;"Education";"Africa";138965695;2598
279;"Technology";"Asia-Pacific";271735895;1768
280;"Finance";"Middle East";76540396;983
281;"Manufacturing";"North America";47521698;16
282;"Manufacturing";"Europe";114812143;655
283;"Education";"South America";11493509;3140
284;"Energy";"North America";58989138;64
285;"Finance";"North America";18810077;136
286;"Healthcare";"Asia-Pacific";179146438;333
287;"Technology";"Middle East";29466441;1510
288;"Retail";"South America";30966248;180
289;"Technology";"Africa";92378463;36
290;"Transportation";"Africa";2192929;446
291;"Technology";"Europe";56555035;129
292;"Healthcare";"South America";4375675;30
293;"Technology";"Africa";4377486;188
294;"Finance";"Europe";93607261;265
295;"Finance";"Middle East";4303460;22
296;"Manufacturing";"Europe";87622748;413
297;"Education";"Africa";266674709;442
298;"Energy";"Asia-Pacific";367269315;30
299;"Retail";"Asia-Pacific";28067987;27
300;"Transportation";"Asia-Pacific";21656671;373
301;"Technology";"Africa";2487331;360
302;"Technology";"Asia-Pacific";42922481;1164
303;"Healthcare";"South America";13527171;26
304;"Education";"Middle East";1783066;44
305;"Finance";"Europe";277715391;997
306;"Retail";"Europe";9899856;20
307;"";"Africa";43017995;NA
308;"Finance";"Asia-Pacific";9055957;199
309;"Transportation";"Asia-Pacific";43394704;456
310;"Education";"North America";5597897;167
311;"Transportation";"Middle East";4941237;76
312;"Energy";"South America";1772800;696
313;"Manufacturing";"Europe";348766485;84
314;"Energy";"North America";420810103;2588
315;"Healthcare";"North America";87214417;612
316;"Transportation";"Africa";74796429;4836
317;"Healthcare";"Europe";8576511;582
318;"Technology";"Africa";319267758;49
319;"Energy";"South America";20549148;727
320;"Education";"North America";86328139;92
321;"Transportation";"North America";18067002;30
322;"Retail";"Middle East";10068002;22
323;"Manufacturing";"South America";52773939;163
324;"Finance";"North America";21935740;305
325;"Education";"South America";136989387;26
326;"Education";"Europe";9936710;620
327;"Healthcare";"Asia-Pacific";63426716;893
328;"Energy";"North America";195019914;925
329;"Transportation";"Middle East";407145760;329
330;"Transportation";"Europe";416153477;11
331;"Technology";"South America";8177326;110
332;"Technology";"Africa";2554510;38
333;"Manufacturing";"Europe";15219423;147
334;"Healthcare";"North America";187649202;60
335;"Education";"South America";110774986;1242
336;"Transportation";"Asia-Pacific";NA;4898
337;"Retail";"Europe";54421590;944
338;"Healthcare";"North America";86089369;432
339;"Manufacturing";"Middle East";245763809;477
340;"Manufacturing";"Africa";84366893;484
341;"Healthcare";"South America";397656835;403
342;"Manufacturing";"Europe";319822032;1759
343;"Healthcare";"Europe";86265058;3850
344;"Finance";"Asia-Pacific";94924392;17
345;"Healthcare";"Asia-Pacific";265888038;3774
346;"Energy";"Middle East";35404302;17
347;"Healthcare";"Africa";12906166;3993
348;"Manufacturing";"Middle East";426077212;1079
349;"Transportation";"North America";14775260;373
350;"Energy";"North America";11440010;269
351;"Manufacturing";"Middle East";13674163;41
352;"Technology";"Africa";37221407;137
353;"Technology";"Middle East";2502337;601
354;"Transportation";"Africa";2554094;508
355;"Transportation";"Africa";8486669;127
356;"Energy";"South America";226749717;17
357;"Finance";"Africa";47209162;587
358;"Transportation";"Asia-Pacific";23722946;10
359;"Technology";"Africa";93429245;309
360;"Healthcare";"Africa";16254507;67
361;"Manufacturing";"Africa";50224695;14
362;"Technology";"North America";3981467;1148
363;"Technology";"Asia-Pacific";76267668;777
364;"Finance";"Asia-Pacific";34063918;732
365;"Energy";"Middle East";12552975;40
366;"Energy";"South America";44900452;160
367;"Education";"Africa";4567546;4300
368;"Finance";"Europe";3805843;639
369;"Healthcare";"South America";49933317;24
370;"Energy";"South America";2410706;711
371;"Manufacturing";"Asia-Pacific";4340216;16
372;"Transportation";"South America";4833284;3547
373;"Finance";"Africa";366081786;228
374;"Transportation";"Africa";33245696;101
375;"Technology";"North America";2847865;461
376;"Manufacturing";"Africa";19921595;761
377;"Manufacturing";"Africa";12586725;39
378;"Technology";"Asia-Pacific";98123406;41
379;"Finance";"Africa";14308092;3568
380;"Technology";"North America";423665058;338
381;"Transportation";"Europe";87571568;238
382;"Education";"Asia-Pacific";18869848;311
383;"Manufacturing";"Europe";486220823;1992
384;"Retail";"Asia-Pacific";369510417;420
385;"Retail";"Middle East";9625678;26
386;"Transportation";"South America";61950571;723
387;"Healthcare";"Middle East";285683482;336
